accountsPayable,capitalSurplus,commonStock,currency,currentAssets,currentCash,currentLongTermDebt,filingType,fiscalDate,fiscalQuarter,fiscalYear,goodwill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,propertyPlantEquipment,receivables,reportDate,retainedEarnings,shareholderEquity,shortTermInvestments,symbol,totalAssets,totalCurrentLiabilities,totalLiabilities,treasuryStock,id,key,subkey,date,updated
63846000000,,16935119000,USD,154106000000,76826000000,12762000000,10-Q,2020-12-26,1,2021,0,0,4973000000,99281000000,199948000000,0,66224000000,43270000000,13687000000,55899000000,56042000000,37933000000,58620000000,2021-01-28,14301000000,66224000000,13687000000,AAPL,354054000000,132507000000,287830000000,0,BALANCE_SHEET,AAPL,quarterly,1608940800000,1612292383000
42296000000,,17057620000,USD,143713000000,90943000000,13769000000,10-K,2020-09-26,4,2020,0,0,4061000000,98667000000,180175000000,0,65339000000,42522000000,11264000000,49327000000,54490000000,36766000000,37445000000,2020-10-30,14966000000,65339000000,11264000000,AAPL,323888000000,105392000000,258549000000,0,BALANCE_SHEET,AAPL,quarterly,1601078400000,1612292383000
35325000000,,17250292000,USD,140065000000,93025000000,18675000000,10-Q,2020-06-27,3,2020,0,0,3978000000,94048000000,177279000000,0,72282000000,41000000000,10987000000,41318000000,55696000000,35687000000,32075000000,2020-07-31,24136000000,72282000000,10987000000,AAPL,317344000000,95318000000,245062000000,0,BALANCE_SHEET,AAPL,quarterly,1593216000000,1612292383000
32421000000,,17440404000,USD,143753000000,94051000000,20421000000,10-Q,2020-03-28,2,2020,0,0,3334000000,89086000000,176647000000,0,78425000000,40167000000,14614000000,43252000000,56795000000,35889000000,30677000000,2020-05-01,33182000000,78425000000,14614000000,AAPL,320400000000,96094000000,241975000000,0,BALANCE_SHEET,AAPL,quarterly,1585353600000,1612292383000
45111000000,,17660160000,USD,163231000000,107162000000,15214000000,10-Q,2019-12-28,1,2020,0,0,4097000000,93078000000,177387000000,0,89531000000,40457000000,12026000000,41836000000,55848000000,37031000000,39946000000,2020-01-29,43977000000,89531000000,12026000000,AAPL,340618000000,102161000000,251087000000,0,BALANCE_SHEET,AAPL,quarterly,1577491200000,1612292383000
46236000000,,17963248000,USD,162819000000,100557000000,16240000000,10-K,2019-09-28,4,2019,0,0,4106000000,91807000000,175697000000,0,90488000000,32978000000,12352000000,43242000000,50503000000,37378000000,45804000000,2019-10-31,45898000000,90488000000,12352000000,AAPL,338516000000,105718000000,248028000000,0,BALANCE_SHEET,AAPL,quarterly,1569628800000,1612292383000
29115000000,,18282532000,USD,134973000000,94614000000,23482000000,10-Q,2019-06-29,3,2019,0,0,3355000000,84936000000,187266000000,0,96456000000,33634000000,10530000000,37107000000,51143000000,37636000000,26474000000,2019-07-31,53724000000,96456000000,10530000000,AAPL,322239000000,89704000000,225783000000,0,BALANCE_SHEET,AAPL,quarterly,1561766400000,1612292383000
30443000000,,18696284000,USD,123346000000,80092000000,22429000000,10-Q,2019-03-30,2,2019,0,0,4884000000,90201000000,218652000000,0,105860000000,34587000000,12092000000,40900000000,52165000000,38746000000,26278000000,2019-05-01,64558000000,105860000000,12092000000,AAPL,341998000000,93772000000,236138000000,0,BALANCE_SHEET,AAPL,quarterly,1553904000000,1612292383000
44293000000,,18943280000,USD,140828000000,86427000000,21741000000,10-Q,2018-12-29,1,2019,0,0,4988000000,92989000000,232891000000,0,117892000000,34686000000,12432000000,42249000000,54555000000,39597000000,36981000000,2019-01-30,80510000000,117892000000,12432000000,AAPL,373719000000,108283000000,255827000000,0,BALANCE_SHEET,AAPL,quarterly,1546041600000,1612292383000
55888000000,,19206348000,USD,131339000000,66301000000,20748000000,10-K,2018-09-29,4,2018,0,0,3956000000,93735000000,234386000000,0,107147000000,1983000000,12087000000,40230000000,47551000000,41304000000,48995000000,2018-11-05,70400000000,107147000000,12087000000,AAPL,365725000000,116866000000,258578000000,0,BALANCE_SHEET,AAPL,quarterly,1538179200000,1612292383000
38489000000,,19528668000,USD,115761000000,70970000000,17472000000,10-Q,2018-06-30,3,2018,0,0,5936000000,97128000000,233436000000,0,114949000000,22546000000,12488000000,32587000000,48174000000,38117000000,26367000000,2018-08-01,79436000000,114949000000,12488000000,AAPL,349197000000,88548000000,234248000000,0,BALANCE_SHEET,AAPL,quarterly,1530316800000,1612292384000
34311000000,,20099508000,USD,130053000000,87940000000,20478000000,10-Q,2018-03-31,2,2018,0,0,7662000000,101362000000,237449000000,0,126878000000,23086000000,12043000000,34531000000,49394000000,35077000000,22408000000,2018-05-02,91898000000,126878000000,12043000000,AAPL,367502000000,89320000000,240624000000,0,BALANCE_SHEET,AAPL,quarterly,1522454400000,1612292384000
62985000000,,20451508000,USD,143810000000,77153000000,18478000000,10-Q,2017-12-30,1,2018,5889000000,2149000000,4421000000,103922000000,262984000000,0,132161000000,13323000000,11337000000,34325000000,46337000000,33679000000,50899000000,2018-02-02,104593000000,140199000000,11337000000,AAPL,406794000000,115788000000,266595000000,0,BALANCE_SHEET,AAPL,quarterly,1514592000000,1612292384000
49049000000,,20597712000,USD,128645000000,74181000000,18473000000,10-K,2017-09-30,4,2017,5717000000,2298000000,4855000000,97207000000,246674000000,0,126032000000,10162000000,13936000000,33292000000,11747000000,33783000000,35673000000,2017-11-03,98330000000,134047000000,13936000000,AAPL,375319000000,100814000000,241272000000,0,BALANCE_SHEET,AAPL,quarterly,1506729600000,1612292384000
31915000000,,20780352000,USD,112875000000,76759000000,18475000000,10-Q,2017-07-01,3,2017,5661000000,2444000000,3146000000,89864000000,232298000000,0,124320000000,10150000000,10338000000,30912000000,11391000000,29286000000,22632000000,2017-08-02,98525000000,132425000000,10338000000,AAPL,345173000000,81302000000,212748000000,0,BALANCE_SHEET,AAPL,quarterly,1498867200000,1612292384000
28573000000,,20903164000,USD,101990000000,67101000000,13991000000,10-Q,2017-04-01,2,2017,5473000000,2617000000,2910000000,84531000000,232542000000,0,125992000000,7549000000,11367000000,30778000000,14351000000,27163000000,20612000000,2017-05-03,100925000000,134082000000,11367000000,AAPL,334532000000,73342000000,200450000000,0,BALANCE_SHEET,AAPL,quarterly,1491004800000,1612292384000
