costOfRevenue,currency,ebit,filingType,fiscalDate,fiscalQuarter,fiscalYear,grossProfit,incomeTax,interestIncome,minorityInterest,netIncome,netIncomeBasic,operatingExpense,operatingIncome,otherIncomeExpenseNet,pretaxIncome,reportDate,researchAndDevelopment,sellingGeneralAndAdmin,symbol,totalRevenue,id,key,subkey,date,updated
67111000000,USD,33534000000,10-Q,2020-12-26,1,2021,44328000000,4824000000,638000000,0,28755000000,28755000000,77905000000,33534000000,0,33579000000,2021-01-28,5163000000,5631000000,AAPL,111439000000,INCOME,AAPL,quarterly,1608940800000,1612292383000
40009000000,USD,14775000000,10-K,2020-09-26,4,2020,24689000000,2228000000,634000000,0,12673000000,12673000000,49923000000,14775000000,0,14901000000,2020-10-30,4978000000,4936000000,AAPL,64698000000,INCOME,AAPL,quarterly,1601078400000,1608330865000
37005000000,USD,13091000000,10-Q,2020-06-27,3,2020,22680000000,1884000000,697000000,0,11253000000,11253000000,46594000000,13091000000,0,13137000000,2020-07-31,4758000000,4831000000,AAPL,59685000000,INCOME,AAPL,quarterly,1593216000000,1608330865000
35943000000,USD,12853000000,10-Q,2020-03-28,2,2020,22370000000,1886000000,757000000,0,11249000000,11249000000,45460000000,12853000000,0,13135000000,2020-05-01,4565000000,4952000000,AAPL,58313000000,INCOME,AAPL,quarterly,1585353600000,1608330865000
56602000000,USD,25569000000,10-Q,2019-12-28,1,2020,35217000000,3682000000,785000000,0,22236000000,22236000000,66250000000,25569000000,0,25918000000,2020-01-29,4451000000,5197000000,AAPL,91819000000,INCOME,AAPL,quarterly,1577491200000,1608330865000
39727000000,USD,15625000000,10-K,2019-09-28,4,2019,24313000000,2441000000,2710000000,0,13686000000,13686000000,48415000000,15625000000,0,16127000000,2019-10-31,4110000000,4578000000,AAPL,64040000000,INCOME,AAPL,quarterly,1569628800000,1608330865000
33582000000,USD,11544000000,10-Q,2019-06-29,3,2019,20227000000,1867000000,866000000,0,10044000000,10044000000,42265000000,11544000000,0,11911000000,2019-07-31,4257000000,4426000000,AAPL,53809000000,INCOME,AAPL,quarterly,1561766400000,1608330865000
36194000000,USD,13415000000,10-Q,2019-03-30,2,2019,21821000000,2232000000,0,0,11561000000,11561000000,44600000000,13415000000,0,13793000000,2019-05-01,3948000000,4458000000,AAPL,58015000000,INCOME,AAPL,quarterly,1553904000000,1608330865000
52279000000,USD,23346000000,10-Q,2018-12-29,1,2019,32031000000,3941000000,0,0,19965000000,19965000000,60964000000,23346000000,0,23906000000,2019-01-30,3902000000,4783000000,AAPL,84310000000,INCOME,AAPL,quarterly,1546041600000,1608330865000
38816000000,USD,16118000000,10-K,2018-09-29,4,2018,24084000000,2296000000,3240000000,0,14125000000,14125000000,46782000000,16118000000,0,16421000000,2018-11-05,3750000000,4216000000,AAPL,62900000000,INCOME,AAPL,quarterly,1538179200000,1608330865000
32844000000,USD,12612000000,10-Q,2018-06-30,3,2018,20421000000,1765000000,0,0,11519000000,11519000000,40653000000,12612000000,0,13284000000,2018-08-01,3701000000,4108000000,AAPL,53265000000,INCOME,AAPL,quarterly,1530316800000,1608330865000
