change,changeOverTime,changePercent,close,fClose,fHigh,fLow,fOpen,fVolume,high,id,key,label,low,marketChangeOverTime,open,subkey,symbol,uClose,uHigh,uLow,uOpen,uVolume,updated,volume
0,0,0,123,123,124.18,122.49,123.66,75089134,124.18,HISTORICAL_PRICES,AAPL,1-Apr-21,122.49,0,123.66,,AAPL,123,124.18,122.49,123.66,75089134,4/2/2021 0:48,75089134
-0.85,-0.006910569,-0.0069,122.15,122.15,123.52,121.15,121.65,118323826,123.52,HISTORICAL_PRICES,AAPL,31-Mar-21,121.15,-0.006910569,121.65,,AAPL,122.15,123.52,121.15,121.65,118323826,4/1/2021 0:48,118323826
-2.25,-0.025203252,-0.0184,119.9,119.9,120.4031,118.86,120.11,85671919,120.4031,HISTORICAL_PRICES,AAPL,30-Mar-21,118.86,-0.025203252,120.11,,AAPL,119.9,120.4031,118.86,120.11,85671919,3/31/2021 1:16,85671919
1.49,-0.013089431,0.0124,121.39,121.39,122.58,120.7299,121.65,80819203,122.58,HISTORICAL_PRICES,AAPL,29-Mar-21,120.7299,-0.013089431,121.65,,AAPL,121.39,122.58,120.7299,121.65,80819203,3/30/2021 1:00,80819203
-0.18,-0.014552846,-0.0015,121.21,121.21,121.48,118.92,120.35,94071234,121.48,HISTORICAL_PRICES,AAPL,26-Mar-21,118.92,-0.014552846,120.35,,AAPL,121.21,121.48,118.92,120.35,94071234,3/27/2021 1:16,94071234
-0.62,-0.019593496,-0.0051,120.59,120.59,121.66,119,119.54,98844681,121.66,HISTORICAL_PRICES,AAPL,25-Mar-21,119,-0.019593496,119.54,,AAPL,120.59,121.66,119,119.54,98844681,3/26/2021 0:48,98844681
-0.5,-0.023658537,-0.0041,120.09,120.09,122.9,120.065,122.82,88530485,122.9,HISTORICAL_PRICES,AAPL,24-Mar-21,120.065,-0.023658537,122.82,,AAPL,120.09,122.9,120.065,122.82,88530485,3/25/2021 0:48,88530485
2.45,-0.003739837,0.0204,122.54,122.54,124.24,122.14,123.33,95467142,124.24,HISTORICAL_PRICES,AAPL,23-Mar-21,122.14,-0.003739837,123.33,,AAPL,122.54,124.24,122.14,123.33,95467142,3/24/2021 1:00,95467142
0.85,0.003170732,0.0069,123.39,123.39,123.87,120.26,120.33,111912284,123.87,HISTORICAL_PRICES,AAPL,22-Mar-21,120.26,0.003170732,120.33,,AAPL,123.39,123.87,120.26,120.33,111912284,3/23/2021 0:48,111912284
-3.4,-0.024471545,-0.0276,119.99,119.99,121.43,119.675,119.9,185549522,121.43,HISTORICAL_PRICES,AAPL,19-Mar-21,119.675,-0.024471545,119.9,,AAPL,119.99,121.43,119.675,119.9,185549522,3/20/2021 1:16,185549522
